Wall time,Step,Value
1552536902.200713,0,0.47227030992507935
1552536903.135962,9,0.2217593640089035
1552536904.087372,18,0.119097039103508
1552536905.0453615,27,0.10300830751657486
1552536906.0090961,36,0.06191917508840561
1552536906.949474,45,0.05548001825809479
1552536907.8228788,46,0.02676144242286682
1552536908.7750068,55,0.03639483451843262
1552536909.7368484,64,0.024835053831338882
1552536910.6968029,73,0.04737209528684616
1552536911.6586614,82,0.017416061833500862
1552536912.5868483,91,0.007266051135957241
1552536913.4189043,92,0.012048861011862755
1552536914.3470657,101,0.01432814635336399
1552536915.291408,110,0.01201778557151556
1552536916.2360024,119,0.025454461574554443
1552536917.1700127,128,0.00720250466838479
1552536918.1249368,137,0.0032338949386030436
1552536918.7805724,138,0.006910969503223896
1552536919.7165797,147,0.006514126900583506
1552536920.6550732,156,0.007151254918426275
1552536921.6039586,165,0.017776811495423317
1552536922.553558,174,0.0037468373775482178
1552536923.5178337,183,0.0017829516436904669
1552536924.3538697,184,0.004574190359562635
1552536925.329908,193,0.0035037852358072996
1552536926.2753708,202,0.004744378849864006
1552536927.2218757,211,0.01380091905593872
1552536928.1932778,220,0.002258129185065627
1552536929.1457033,229,0.0011188405333086848
1552536929.8240445,230,0.003257935168221593
1552536930.7515352,239,0.0021383764687925577
1552536931.7133033,248,0.0033642263151705265
1552536932.699164,257,0.011121841147542
1552536933.6798139,266,0.0014918723609298468
1552536934.5993102,275,0.0007630586042068899
