,loss,fbeta
0,1.3176504373550415,4.999997713639459e-07
1,0.20314374566078186,1.0
2,0.335387647151947,1.0
3,0.14380691945552826,1.0
4,0.16911309957504272,1.0
5,0.022475657984614372,1.0
6,0.061903178691864014,1.0
7,0.01172318309545517,1.0
8,0.140763521194458,1.0
9,0.02993970736861229,1.0
10,0.002902005799114704,1.0
11,0.005008403677493334,1.0
12,0.011294187046587467,1.0
13,0.001590084983035922,1.0
14,0.004173631779849529,1.0
15,0.0009137989836744964,1.0
16,0.02729414589703083,1.0
17,0.002329676877707243,1.0
18,0.0006003989838063717,1.0
19,0.0017834105528891087,1.0
20,0.00010789022780954838,1.0
21,0.0009257308556698263,1.0
22,0.0008874896448105574,1.0
23,0.00044194687507115304,1.0
24,0.00013328486238606274,1.0
