time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-4.569206856489402e-07,5.1851818823978016e-08,0.0031546986018368803,6.130690098604674e-05,0.00039449620767939564,0.0,-3.8050099849738425e-05,4.955360483058684e-06,0.10515197822145789,0.002990960917677672,0.017246568679013995,0.0,437.295283729739,438.7292347328461,438.9256897158589,439.1737741218386
0.12000000000000001,-1.6690542698557064e-05,2.636271156571981e-06,0.015548158449615653,0.00028590013854223884,0.0010237119519223015,0.0,-0.0006071182282970553,0.00010492111790489996,0.30792987149440615,0.005206912361907283,-0.008599500706785279,0.0,468.8559497780934,466.84386076668875,468.86700218997186,469.03902746161
0.18,-7.504792806112844e-05,1.7452542353795275e-05,0.039791152664082015,0.0009647782630324286,0.0006803728478539384,0.0,-0.0012890029660602728,0.0004487700756418787,0.5001050246188954,0.02135664332085728,-0.000512693670005707,0.0,465.13722017669255,465.77009198258787,464.6232984477087,465.8874098570456
0.23999999999999996,-0.00016825183696134578,7.265021343413929e-05,0.07574486509580278,0.0020584058243180436,0.00032117696259970074,0.0,-0.0017987505892511208,0.0015304488090566231,0.698251460644101,0.011090197680811643,-0.020147571544401045,0.0,467.57272231803665,466.04085263055345,468.1803571369164,467.38094048761116
0.3,-0.00027816122902169063,0.0002090167363447028,0.12043334088568258,0.002585225368795463,6.282288553059447,0.0,-0.0017423680105328038,0.003075623520661824,0.791303984118358,0.003706143682261633,-0.02060311304287981,0.0,434.6127376035263,434.5745723764663,436.1283760655901,435.51117297930045
0.36000000000000004,-0.0003536684538527753,0.000464950739639535,0.1772321304129721,0.0031745827678806293,6.281795048861968,0.0,-0.0006694643353338205,0.00551179526978168,1.1017422946583793,0.01987673008621621,0.009152713480782535,0.0,498.43565983885185,500.6053373122894,499.6822043383331,500.8593780437
0.4200000000000001,-0.0003684045066038182,0.0008624363940696281,0.2453619035602713,0.004278191938323239,6.282223159567234,0.0,0.00013035897806307315,0.00784924742151132,1.1691829443673032,0.015248739553452163,0.002759368450656968,0.0,427.7700647603914,427.22524877597397,428.06075788789565,427.6667478268526
0.48000000000000015,-0.0003377856340282913,0.001441683709763616,0.3222153828125605,0.004851181071912514,6.282141912403283,0.0,0.000883014389867318,0.011551626496148404,1.3923545004493192,-0.005402164980195004,-0.01120735069725759,0.0,476.1231163243238,475.05351309929733,476.66222060465765,475.08153247466583
0.5400000000000001,-0.0002573496316728232,0.0022475738887758915,0.41162107402436315,0.004619931670989175,6.28107524420361,0.0,0.0018928503869608411,0.015278127138176893,1.5875847740496605,-0.0009249995379764036,-0.036067746490416476,0.0,469.116381890114,467.1821911386145,467.72809604083335,468.0766887519773
0.6000000000000002,-8.778466370895342e-05,0.0032670341395040696,0.5115332008950336,0.004408948655114209,6.278946123402337,0.0,0.003995135027729799,0.018688807981571954,1.7425954778847423,-0.009281403894630828,-0.03434551939707863,0.0,457.3619989415145,457.49862171483744,455.8330526345752,455.1649035157431
0.6600000000000003,0.0002548608076558326,0.004484379181115085,0.6207513839156902,0.0037035104464138158,6.27707284625458,0.0,0.0076412228454421395,0.02181934510203519,1.8977652727562508,-0.01723638563425008,-0.0256098348245228,0.0,457.70871475050296,458.403043924044,456.24692305474287,455.6115227371072
0.7200000000000003,0.0008557227434842185,0.00587239283532176,0.7394416508056167,0.0024760109686434717,6.276439192691763,0.0,0.012494864582640087,0.024322366114810687,2.0583016388115425,-0.02783822044019737,0.009350875231160941,0.0,458.21148351765316,460.9822480633176,459.1127342216679,458.2708672790912
0.7800000000000004,0.001739895649261794,0.007375598414078268,0.8655733587263911,0.0005651077571391383,6.277290236127389,0.0,0.016904360259023813,0.02560629288613027,2.145928985864235,-0.04139950922185652,0.022425586974903548,0.0,436.9176416835736,438.0062021820985,437.2887044249669,436.1571944754629
0.8400000000000004,0.0028786920318105767,0.008914289052130098,0.9987143789019371,6.28128434150625,6.278514405098207,0.0,0.02091378655833828,0.02541409950740062,2.2918249444002536,-0.040511387515958085,0.016015202475374732,0.0,456.23040577546146,455.7182878782544,455.20838062084414,455.27859378675186
0.9000000000000005,0.004212009962459638,0.010397942719529176,1.1360382702548606,6.278675954773448,6.279486724948855,0.0,0.023446768573567343,0.02382420450792526,2.2856504083324105,-0.050172405988351605,0.016582880422760057,0.0,407.0435402476004,407.09427347664945,407.65090355110374,406.7854461282806
0.9600000000000005,0.005697348247608794,0.01171350351545729,1.2779696069131494,6.275445748676724,6.280788810822413,0.0,0.02593436263195069,0.019685172436864167,2.44506590296165,-0.06241039258373574,0.030356688987184535,0.0,458.93498823800263,460.02690145978534,461.5757391516704,460.6071090546755
1.0200000000000005,0.007303673189815423,0.012688826513476878,1.4314013032796367,6.2715591339028816,6.282271616693116,0.0,0.027405838841268994,0.012371333776717846,2.6688261117663226,-0.06998574150996954,0.009962369912538216,0.0,480.4102351325728,478.8614519640704,480.7124512612705,480.135329861776
1.0800000000000005,0.008961129865854513,0.013230066638921761,1.5901433181956952,6.268148588467325,6.282707797831954,0.0,0.02780072105417642,0.005369364081010632,2.6226779714472905,-0.03871427816359707,0.001251919028492946,0.0,395.27480263240733,394.4711664179371,394.03282291836734,396.9101838989314
1.1400000000000006,0.010640857292058591,0.013165305073797658,1.75486845488541,6.265992529295499,6.282558930378578,0.0,0.028192854252372265,-0.00779476234384549,2.8675748024524896,-0.030886218920263678,-0.011250366770212149,0.0,487.3193346681509,486.3839736253139,486.7098281239603,487.29487086161856
